title,type,description,effect,pic
Jenkins is down!,Event,"Jenkins is down for no apparent reason, delaying all your projects. Only David knows how to fix it.",Move back 1 square every turn. Discard David to remove this effect.,jenkins.png
Meeting with ITCPD,Event,You have to go to another frustrating project meeting.,Throw 2 dice and move back those many squares.,itcpd.png
Time for marking,Event,Your whole team needs to do some urgent marking. Everything else gets delayed.,Move back as many squares as project cards you have.,marking.png
The Architects get involved,Event,Brace! Your projects can go very well or very badly.,Discard all your cards and draw 3 new cards. Good luck!,architects.png
It's Agile time!,Event,Yeah. Not that kind of Agile. Sorry.,"Discard RCI, RC, RDS, RITA, Eva and Clare, if you have them.",agile.png
Raquel,Team Member,Raquel's too busy and can't take any more projects.,Keep this card. Discard all project cards you draw in the future.,raquel.png
Roma,Team Member,"Roma knows a lot about a lot, and isn't afraid to explain it. Are you sure you've thought that through?","Keep this card. If you would draw a card, roll a die and only draw if you roll 3 or more.",roma.png
Estates,Event,Estates have completed a building refit.,Every player randomly swaps places then moves back one space.,https://www.ucl.ac.uk/estates/common/images/22gs.gif
HR,Event,HR get the job description wrong again.,Lose one randomly selected team member.,https://www.capita.com/media/2147/980x654xsolved-hr-social-banner-1200x800-1024x683pngpagespeedicsu7kcjwm7i.png
Grace's network glitches,Event,There's a sporadic error in Grace's networking infrastructure.,"Your jobs fail, go back 3 squares. (Unless you have Research Computing Infrastructure, who save the day.)",datacentre.png
Corrupt backups,Event,Your system backups are corrupted!,"Lose a turn sorting out the mess, unless you have Research Computing Infrastructure.",datacentre.png
Funding confirmed!,Event,A grant proposal was successful.,"Miss a turn if you have more projects than team members, while you recruit. Otherwise, move +1 per team member card you have.",funding.png
The Fortran Curse,Event,"You left the cursed Fortran book out of its magic chest overnight, and now the office is flooded.","Lose a turn while you clean up and order new laptops, and lose Jens if you have him.",fortran.ong
Cold War with Computer Science,Event,Projects got allocated to CS guys instead.,"Lose half your projects and the team members on CS projects (Asif, Roland and Jonathan if in hand).",ucl.png
Loss of crates,Event,Some crates mysteriously disappear while moving offices.,Your fancy screens are gone! Productivity is reduced. Move back 2 squares per project in hand.,
Professor Keeter Bloveney,Event,One of your old collaborators demands you go back and fix his code.,Go back 8 squares or lose a team member.,ucl.png
The Provost,Event,The provost cuts jobs across professional services to pay for his latest vanity project. RITS staff strike in solidarity.,Roll a die and lose that many team members.,ucl.png
Strike ! ,Event,UCU calls for pension strike.,Your team members are striking. Projects are delayed. Roll a dice per team member and move back that many squares. ,
Metadata loss,Event,Research Data's object store has lost the metadata.,Swap all project cards with a player of your choice.,datacentre.png
Roland,Team member,Roland takes a loooooooooooong time to understand the subtleties of perfect software crafting.,He will eventually get there. Reduce your forward moves by 1 for the time spent in explanations.,
DDoS attack,Event,UCLU have cancelled a speaker and as a result UCL are under attack from a botnet.,Miss a turn,
GDPR,Event,You spend too much time sorting out all GPDR emails.,,gdpr.png
Geekbot is going crazy!,Event,You receive random Geekbot notifications.,"Have you chosen who will you pair with ? If not, by the end of reading, move to the last player position.",slack.png
Security hole,Event,A PI has demanded you implement something in an insecure way as their project is not a target for hackers.,"Hold your cards face down in front of the other players, and allow them each to steal one at random.",
Bad research,Event,"Someone is running simulations on the cluster, looking for a positive result they can publish.","Roll the dice as many times as it takes to get the number of moves you want, then discard this card.",
Asif,Team member,Asif has decided to spend the afternoon hacking his dotfiles.,Lose a turn until he comes to his senses. Discard this card.,asif.png
Anastasis,Team member,"Anastasis is working on projects he knows nothing about, and is distracted with background reading.",Roll a die and move back that many squares. Discard this card.,anastasis.png
GitHub is being acquired by $ome software company.,Event,You are worried about your opensource projects,This event affects everyone! Every player loses two project cards to the player on their right (choose randomly). ,octocat.png
Evil Corp. summoned Mecha-Bentham to subjugate UCL.,Event,ROOOOOAAAARRR!!!!!,Everything is lost ! All players go back to the beginning.,godzilla.png
